epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,5390.33,0.71685,0.09706,0.03862,0.36477,0.77541,0.98926,0.9945,0.9932,0.84506,0.23611,0.23649,0.23672,0.2291,0.5757,0.05675,0.00744,0.30907,0.79651,0.00033425,0.00033425,0.00033425
76,5461.68,0.69366,0.10751,0.0378,0.35145,0.77977,0.9909,0.99294,0.99312,0.8408,0.23614,0.23649,0.2384,0.23687,0.56745,0.05404,0.00692,0.30331,0.79757,0.000321875,0.000321875,0.000321875
77,5532.92,0.69421,0.1062,0.03825,0.35089,0.78479,0.98954,0.99384,0.99291,0.8451,0.23617,0.23649,0.23776,0.23481,0.57831,0.05285,0.00668,0.30745,0.79901,0.0003095,0.0003095,0.0003095
78,5604.27,0.72732,0.10084,0.03398,0.3578,0.78147,0.98826,0.99539,0.99304,0.83018,0.23611,0.23649,0.2351,0.22983,0.6013,0.0542,0.00597,0.31555,0.79988,0.000297125,0.000297125,0.000297125
79,5675.72,0.70941,0.08947,0.03681,0.35865,0.78045,0.98774,0.9949,0.99303,0.84263,0.2361,0.23649,0.23517,0.22914,0.58481,0.05434,0.00606,0.30904,0.79844,0.00028475,0.00028475,0.00028475
80,5747.35,0.69837,0.09222,0.03676,0.3542,0.77684,0.98996,0.9931,0.99268,0.83593,0.23611,0.23649,0.23541,0.23167,0.58687,0.05234,0.00604,0.31245,0.79696,0.000272375,0.000272375,0.000272375
81,5818.25,0.70301,0.106,0.03549,0.35749,0.78009,0.98837,0.99332,0.9924,0.84419,0.23609,0.23649,0.23559,0.23107,0.56692,0.05095,0.00625,0.30662,0.79636,0.00026,0.00026,0.00026
82,5890.7,0.70055,0.08339,0.03303,0.35155,0.77663,0.98946,0.9945,0.99238,0.84208,0.2361,0.23649,0.23617,0.23354,0.55526,0.05055,0.00633,0.29545,0.79732,0.000247625,0.000247625,0.000247625
83,5961.94,0.7035,0.08438,0.03694,0.35287,0.77886,0.98897,0.99376,0.99248,0.85243,0.23611,0.23649,0.23793,0.23512,0.55582,0.04912,0.0063,0.30116,0.7973,0.00023525,0.00023525,0.00023525
84,6033.56,0.69203,0.09474,0.03826,0.34611,0.77575,0.98957,0.99498,0.99267,0.84956,0.23611,0.23649,0.23499,0.23393,0.56229,0.04974,0.00645,0.30032,0.79638,0.000222875,0.000222875,0.000222875
85,6105.26,0.67526,0.08563,0.04212,0.34509,0.77589,0.98809,0.99509,0.99261,0.85326,0.23612,0.23649,0.23396,0.23226,0.54685,0.05129,0.00599,0.29124,0.79713,0.0002105,0.0002105,0.0002105
86,6176.34,0.67632,0.09246,0.03634,0.34067,0.77614,0.98836,0.99454,0.99264,0.85304,0.2361,0.23649,0.23529,0.23318,0.54763,0.04864,0.00617,0.29702,0.79645,0.000198125,0.000198125,0.000198125
87,6248.08,0.6742,0.10623,0.03463,0.33938,0.78319,0.98862,0.99517,0.99271,0.85187,0.23611,0.23649,0.2361,0.23495,0.54793,0.04704,0.00629,0.29316,0.79567,0.00018575,0.00018575,0.00018575
88,6320.21,0.68538,0.08406,0.03704,0.34165,0.77988,0.98928,0.99478,0.9929,0.85138,0.2361,0.23649,0.23597,0.23417,0.55839,0.04786,0.00595,0.30285,0.79442,0.000173375,0.000173375,0.000173375
89,6391.67,0.65739,0.0832,0.04063,0.33325,0.77743,0.98896,0.9953,0.9928,0.84943,0.23609,0.23649,0.238,0.23588,0.57111,0.04819,0.00573,0.29715,0.79634,0.000161,0.000161,0.000161
90,6464.39,0.68088,0.08499,0.03325,0.34268,0.77248,0.98839,0.99518,0.99291,0.85481,0.2361,0.23649,0.23708,0.2336,0.54943,0.05207,0.00614,0.29396,0.79546,0.000148625,0.000148625,0.000148625
91,6537.26,0.64568,0.04387,0.00888,0.34234,0.77794,0.9876,0.994,0.99276,0.84454,0.2361,0.23649,0.23656,0.23393,0.5677,0.05131,0.00551,0.30801,0.79907,0.00013625,0.00013625,0.00013625
92,6607.71,0.63484,0.03972,0.0084,0.33522,0.77264,0.98786,0.9932,0.99299,0.84446,0.2361,0.23649,0.23645,0.23455,0.55009,0.05027,0.00478,0.29852,0.79637,0.000123875,0.000123875,0.000123875
93,6677.03,0.63298,0.04031,0.01035,0.33386,0.76471,0.98429,0.99433,0.99283,0.84562,0.2361,0.23649,0.23522,0.2332,0.55409,0.04739,0.00438,0.29415,0.79617,0.0001115,0.0001115,0.0001115
94,6745.92,0.62499,0.04144,0.00639,0.32908,0.77384,0.98624,0.99374,0.99288,0.84721,0.23606,0.23649,0.23441,0.23239,0.55505,0.04744,0.00388,0.29888,0.79556,9.9125e-05,9.9125e-05,9.9125e-05
95,6815.72,0.6278,0.04492,0.00938,0.32832,0.77618,0.98856,0.99389,0.99297,0.84516,0.23604,0.23649,0.23424,0.23216,0.55502,0.04805,0.00358,0.29704,0.79584,8.675e-05,8.675e-05,8.675e-05
96,6885.38,0.62518,0.03976,0.00708,0.32772,0.7708,0.98847,0.99486,0.993,0.84766,0.23605,0.23649,0.23526,0.23173,0.54633,0.04967,0.00352,0.29779,0.79648,7.4375e-05,7.4375e-05,7.4375e-05
97,6955.21,0.62086,0.04293,0.01181,0.32721,0.77159,0.98895,0.99488,0.99303,0.84784,0.2361,0.23649,0.23546,0.23171,0.55999,0.05005,0.00362,0.30097,0.7972,6.2e-05,6.2e-05,6.2e-05
98,7024.12,0.61119,0.03846,0.00727,0.32197,0.77246,0.98886,0.995,0.99295,0.84494,0.23611,0.23649,0.23426,0.23217,0.5592,0.04764,0.00343,0.29829,0.79663,4.9625e-05,4.9625e-05,4.9625e-05
99,7095.65,0.60581,0.03535,0.0082,0.31653,0.77138,0.9889,0.99486,0.99307,0.84948,0.23611,0.23649,0.23403,0.23192,0.54313,0.04709,0.00343,0.29226,0.79592,3.725e-05,3.725e-05,3.725e-05
100,7165.36,0.60869,0.03534,0.00718,0.31768,0.76842,0.98954,0.99453,0.99302,0.84932,0.23611,0.23649,0.23433,0.23163,0.54027,0.04686,0.00337,0.28849,0.7957,2.4875e-05,2.4875e-05,2.4875e-05
