epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
88,4899.23,0.73789,0.69051,0.4399,0.75001,0,0.98299,0.98833,0.98785,0.79848,0.97199,0.97764,0.97325,0.66218,0.56312,0.34193,0.41454,0.71453,0,0.00010666,0.00010666,0.00010666
89,4947.27,0.72713,0.73711,0.43615,0.74834,0,0.98351,0.98826,0.98795,0.8008,0.95922,0.96404,0.9525,0.63515,0.56202,0.34618,0.42108,0.71443,0,9.90472e-05,9.90472e-05,9.90472e-05
90,5001.52,0.77274,0.72086,0.44646,0.75397,0,0.98264,0.98929,0.98822,0.81363,0.96203,0.96863,0.95819,0.63949,0.52814,0.33421,0.41241,0.71422,0,9.14341e-05,9.14341e-05,9.14341e-05
91,5067.41,0.72334,0.64448,0.50783,0.75046,0,0.98338,0.99575,0.98839,0.80308,0.94311,0.95202,0.92359,0.57647,0.55512,0.34329,0.40747,0.71501,0,8.3821e-05,8.3821e-05,8.3821e-05
92,5126.28,0.71018,0.66604,0.47632,0.75799,0,0.98278,0.99631,0.98828,0.80262,0.87145,0.88741,0.83246,0.48092,0.56401,0.357,0.42068,0.71527,0,7.62079e-05,7.62079e-05,7.62079e-05
93,5186.55,0.70013,0.62882,0.48581,0.75712,0,0.98104,0.99808,0.98833,0.80688,0.87236,0.88903,0.83217,0.48484,0.53442,0.35524,0.41403,0.71409,0,6.85948e-05,6.85948e-05,6.85948e-05
94,5240.92,0.72629,0.68871,0.4821,0.75174,0,0.98122,0.99807,0.98815,0.80885,0.85548,0.87151,0.80606,0.4633,0.52673,0.35404,0.4067,0.7133,0,6.09817e-05,6.09817e-05,6.09817e-05
95,5298.4,0.6852,0.56221,0.46586,0.7592,0,0.98163,0.99753,0.98786,0.80455,0.85461,0.86978,0.80821,0.46015,0.53476,0.35499,0.41147,0.71345,0,5.33686e-05,5.33686e-05,5.33686e-05
96,5345.89,0.66496,0.56328,0.45459,0.75796,0,0.98201,0.9968,0.98795,0.80236,0.87347,0.88997,0.83795,0.48273,0.54108,0.35675,0.40954,0.71363,0,4.57555e-05,4.57555e-05,4.57555e-05
97,5391.88,0.66244,0.58917,0.45931,0.75699,0,0.98264,0.99605,0.98809,0.80275,0.87503,0.89348,0.83946,0.48816,0.53435,0.35561,0.40599,0.71373,0,3.81424e-05,3.81424e-05,3.81424e-05
98,5436.35,0.66889,0.51821,0.45747,0.76176,0,0.97956,0.99913,0.98803,0.80298,0.87499,0.89352,0.83853,0.48802,0.5357,0.35797,0.4023,0.71419,0,3.05293e-05,3.05293e-05,3.05293e-05
99,5484.03,0.65185,0.53339,0.45147,0.74893,0,0.97952,0.99915,0.98796,0.80408,0.87496,0.89353,0.83988,0.47854,0.53664,0.36269,0.40025,0.71394,0,2.29162e-05,2.29162e-05,2.29162e-05
100,5531.94,0.68165,0.67806,0.45738,0.7573,0,0.97959,0.99916,0.98796,0.80927,0.87623,0.89474,0.83849,0.47797,0.52798,0.36318,0.3989,0.71356,0,1.53031e-05,1.53031e-05,1.53031e-05
