epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,975.4,0.60064,0.58086,0.8339,0.94583,0.76289,0.77777,0.65823,0.56986,0.61745,0.8036,0.000148625,0.000148625,0.000148625
91,985.1,0.65748,0.88555,0.84288,0.94583,0.76289,0.77777,0.65823,0.56986,0.61745,0.8036,0.00013625,0.00013625,0.00013625
92,991.93,0.70845,0.90379,0.81939,0.94689,0.76368,0.7772,0.65345,0.58526,0.61022,0.80454,0.000123875,0.000123875,0.000123875
93,998.732,0.64793,0.79793,0.83937,0.94689,0.76368,0.7772,0.65345,0.58526,0.61022,0.80454,0.0001115,0.0001115,0.0001115
94,1005.67,0.68018,0.86028,0.82418,0.9471,0.76444,0.77575,0.64822,0.60956,0.62362,0.8069,9.9125e-05,9.9125e-05,9.9125e-05
95,1013.27,0.64471,0.75568,0.83402,0.9471,0.76444,0.77575,0.64822,0.60956,0.62362,0.8069,8.675e-05,8.675e-05,8.675e-05
96,1020.92,0.64657,0.779,0.84364,0.94068,0.76463,0.77465,0.64731,0.62215,0.63645,0.80889,7.4375e-05,7.4375e-05,7.4375e-05
97,1028.51,0.66074,0.73993,0.82246,0.94068,0.76463,0.77465,0.64731,0.62215,0.63645,0.80889,6.2e-05,6.2e-05,6.2e-05
98,1036.13,0.6329,0.72499,0.83599,0.94033,0.76503,0.77305,0.64711,0.6228,0.64037,0.80994,4.9625e-05,4.9625e-05,4.9625e-05
99,1043.57,0.65337,0.70241,0.85147,0.94033,0.76503,0.77305,0.64711,0.6228,0.64037,0.80994,3.725e-05,3.725e-05,3.725e-05
100,1055.19,0.65093,0.71996,0.822,0.93268,0.7628,0.77268,0.64963,0.61475,0.63597,0.80956,2.4875e-05,2.4875e-05,2.4875e-05
